timestamp,open,high,low,close,volume
2024-06-01,165.5,167.69,165.5,166.02,37860.04742492
2024-06-02,166.02,166.87,161.5,163.15,83230.34858554
2024-06-03,163.15,167.26,161.63,164.91,205605.14508428
2024-06-04,164.86,171.89,164.37,171.82,182673.76309452
2024-06-05,171.82,175.47,171.19,173.51,216662.42376064
2024-06-06,173.54,174.33,167.64,170.01,281641.98515044
2024-06-07,170.02,172.6,153.02,162.49,474274.04930875
2024-06-08,162.49,163.75,157.5,157.76,132513.60092558
2024-06-09,157.77,162.95,156.63,162.07,122856.99045484
2024-06-10,162.07,163.25,157.35,158.97,179412.34048448
2024-06-11,158.97,159.58,145.03,149.5,328536.48754299
2024-06-12,149.41,161.89,145.56,155.17,358631.72610649
2024-06-13,155.17,155.17,146.0,147.28,162246.88457072
2024-06-14,147.23,148.89,138.01,143.07,404522.07337227
2024-06-15,143.06,145.5,142.84,145.45,77997.12013055
2024-06-16,145.44,151.18,143.11,151.16,123388.51821294
2024-06-17,151.18,151.5,139.66,143.14,207804.52633276
2024-06-18,143.23,143.64,128.0,137.35,538319.23614986
2024-06-19,137.35,141.82,134.49,135.7,234685.87585704
2024-06-20,135.6,141.2,131.73,133.43,216054.3847182
2024-06-21,133.43,135.28,128.6,134.58,285866.57462553
2024-06-22,134.54,136.65,133.08,133.69,59559.57696763
2024-06-23,133.69,135.2,128.1,128.55,135267.79386119
2024-06-24,128.57,132.46,122.0,132.25,372784.01148733
2024-06-25,132.27,139.93,131.02,136.55,291694.24547197
2024-06-26,136.54,140.34,134.59,136.68,245465.16442862
2024-06-27,136.67,150.93,135.09,149.53,323248.39069801
2024-06-28,149.49,150.53,138.82,139.69,282423.59246188
2024-06-29,139.7,142.95,139.55,139.92,92455.91125775
2024-06-30,139.92,147.28,137.0,146.48,188783.29381045
2024-07-01,146.45,149.0,145.59,146.53,328532.77184008
2024-07-02,146.52,154.74,146.0,153.75,270049.05309498
2024-07-03,153.76,154.15,138.96,140.67,444535.45134213
2024-07-04,140.69,142.59,127.21,127.79,442522.73435529
2024-07-05,127.76,136.41,121.0,134.31,548885.62677983
2024-07-06,134.31,144.15,132.25,143.05,227338.15030919
2024-07-07,143.06,143.33,131.21,131.54,354812.15531316
2024-07-08,131.58,141.81,127.88,139.77,297482.1294574
2024-07-09,139.78,144.1,136.43,141.33,187999.24438507
2024-07-10,141.4,146.19,138.69,142.04,225913.82567128
2024-07-11,142.02,145.93,135.54,135.74,326911.3978288
2024-07-12,135.7,140.72,134.0,139.53,287957.04252855
2024-07-13,139.53,143.55,138.11,141.96,153378.23156066
2024-07-14,141.92,148.5,141.92,147.8,216123.88980797
2024-07-15,147.72,159.92,147.2,159.44,368774.10411966
2024-07-16,159.44,162.58,152.76,160.57,365091.95344883
2024-07-17,160.69,164.9,154.8,155.45,257557.45938865
2024-07-18,155.52,161.67,155.1,159.18,192964.3992968
2024-07-19,159.19,172.24,156.29,169.14,399997.67840615
2024-07-20,169.15,175.07,167.37,173.66,220679.69753152
2024-07-21,173.67,185.11,170.58,184.43,301378.9301334
2024-07-22,184.43,184.86,176.88,178.98,254537.19262508
2024-07-23,178.95,180.6,170.65,172.73,312985.85066106
2024-07-24,173.03,182.51,171.01,178.09,522419.11816261
2024-07-25,178.01,179.53,165.12,171.83,473734.47531821
2024-07-26,171.83,183.77,171.71,183.16,315417.20458039
2024-07-27,183.16,188.25,175.17,183.81,337288.47435682
2024-07-28,183.83,186.68,181.29,184.96,116279.60668045
2024-07-29,184.96,193.86,181.68,182.49,513138.21858625
2024-07-30,182.55,184.92,175.5,179.03,252747.99345514
2024-07-31,179.03,184.9,171.57,171.58,420223.23135261
2024-08-01,171.64,172.81,157.7,167.38,551348.97669593
2024-08-02,167.24,169.25,149.89,152.61,523038.03010026
2024-08-03,152.6,153.76,139.93,142.42,392822.63363153
2024-08-04,142.43,145.9,131.22,138.24,568645.07150832
2024-08-05,138.26,139.2,109.55,129.79,2252114.40140731
2024-08-06,129.8,149.6,129.5,144.46,854656.56953425
2024-08-07,144.46,155.07,142.29,144.48,659219.54552134
2024-08-08,144.78,163.52,141.43,163.19,763753.23780908
